"surname","pred.whi","pred.bla","pred.his","pred.asi","pred.oth"
"HOWARD",0.596663827111558,0.294832164251639,0.0275207004323388,0.00689832299728847,0.0740849852071752
"YILDIRIM",0.806879507367566,0.0273312367782546,0.0694453842436667,0.0165025999964223,0.0798412716140901
"HAMILTON",0.655944139872146,0.238694068083875,0.0286452611776326,0.00749992494375302,0.0692166059225936
"MOSHER",0.91475778871152,0.00425166582087905,0.029090858438904,0.00916841322435812,0.0427312738043386
"BARR",0.783554996274107,0.119856578974695,0.026795589450644,0.00830272200410706,0.0614901132964464
"GRAY",0.639787384626972,0.25225559124735,0.0280982391050223,0.00748092245317097,0.0723778625674855
"MCMILLIAN",0.321548611016706,0.554405958553113,0.0211825126534828,0.00340114186295683,0.0994617759137412
"FORD",0.576284886560692,0.320252868445744,0.0275472213566286,0.00620988709641778,0.0697051365405178
"STRZELECKA",0.472364189687219,0.17080595372538,0.220006688798867,0.0825296367900648,0.0542935309984693
"KIM",0.01691261466122,0.00282012026359936,0.00545949430983468,0.942939185138833,0.0318685856265125
"WOOD",0.844641076384938,0.0571385565726003,0.0288356309639655,0.00934049648236411,0.0600442395961318
"DENT",0.535412671570068,0.375651272437957,0.023295299186891,0.00717598563313291,0.0584647711719507
"AFTERGUT",0.472364189687219,0.17080595372538,0.220006688798867,0.0825296367900648,0.0542935309984693
"KUMAR",0.0280014045664392,0.00669915997610526,0.00886566582599853,0.869049067825136,0.087384701806321
"STARSIAK",0.912876874688697,0,0.0388641624376088,0.0184709101659936,0.0297880527077001
"TRAN",0.00903433579579285,0.000719424741884289,0.00678294183517692,0.955697256089238,0.0277660415379084
"LI",0.0100238780845892,0.00137532645721612,0.00530491750543048,0.968625797580269,0.0146700803724953
"PEESO",1,0,0,0,0
"DAVIS",0.576584786504781,0.315651101927552,0.028310355667213,0.00675492426698286,0.0726988316334717
"BOYER",0.846794925974197,0.0560075102419622,0.0319747109372182,0.00877800472862835,0.0564448481179943
